Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Field,Mean,Error,StdDev,Median
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:1000 originalSize:1000, methodArgument:800)","6,348.9 us",200.994 us,576.689 us,"6,186.5 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:1000 originalSize:1000, methodArgument:800)","6,186.6 us",135.416 us,386.351 us,"6,119.8 us"
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:10000 originalSize:10000, methodArgument:8000)","61,666.1 us","1,222.307 us","1,938.708 us","62,204.7 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:10000 originalSize:10000, methodArgument:8000)","60,456.6 us","1,173.109 us","1,719.528 us","60,236.7 us"
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:200 originalSize:100, methodArgument:80)",640.1 us,15.393 us,43.667 us,627.5 us
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:200 originalSize:100, methodArgument:80)",658.2 us,14.913 us,42.548 us,648.8 us
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:2000 originalSize:1000, methodArgument:800)","6,134.1 us",146.622 us,423.039 us,"6,034.5 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:2000 originalSize:1000, methodArgument:800)","5,807.3 us",116.991 us,333.781 us,"5,779.1 us"
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:20000 originalSize:10000, methodArgument:8000)","60,860.0 us","1,248.826 us","2,187.218 us","60,718.4 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAtFront startCapacity:20000 originalSize:10000, methodArgument:8000)","59,657.3 us","1,174.992 us","1,722.289 us","60,031.3 us"
