Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Field,Mean,Error,StdDev,Median
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:100 originalSize:100, methodArgument:10)",114.3 us,3.469 us,10.118 us,111.3 us
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:100 originalSize:100, methodArgument:10)",116.1 us,3.903 us,11.198 us,113.4 us
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:100 originalSize:100, methodArgument:50)",410.0 us,8.935 us,25.780 us,407.3 us
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:100 originalSize:100, methodArgument:50)",440.2 us,19.153 us,55.260 us,419.0 us
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:100 originalSize:100, methodArgument:90)",767.7 us,40.195 us,117.886 us,718.0 us
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:100 originalSize:100, methodArgument:90)",719.2 us,20.498 us,58.149 us,700.3 us
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:1000 originalSize:1000, methodArgument:100)",808.3 us,21.899 us,62.832 us,791.6 us
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:1000 originalSize:1000, methodArgument:100)",756.1 us,14.869 us,25.249 us,753.4 us
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:1000 originalSize:1000, methodArgument:500)","3,653.1 us",72.427 us,144.644 us,"3,674.3 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:1000 originalSize:1000, methodArgument:500)","3,643.5 us",72.572 us,168.198 us,"3,617.6 us"
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:1000 originalSize:1000, methodArgument:900)","7,120.8 us",236.600 us,682.646 us,"6,980.0 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:1000 originalSize:1000, methodArgument:900)","6,729.0 us",188.777 us,544.665 us,"6,587.8 us"
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:10000 originalSize:10000, methodArgument:1000)","7,844.1 us",231.273 us,681.913 us,"7,628.7 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:10000 originalSize:10000, methodArgument:1000)","7,478.6 us",162.966 us,467.580 us,"7,359.0 us"
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:10000 originalSize:10000, methodArgument:5000)","39,311.7 us","1,004.019 us","2,896.826 us","38,944.2 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:10000 originalSize:10000, methodArgument:5000)","37,756.3 us",899.858 us,"2,552.748 us","37,026.5 us"
