Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Field,Mean,Error,StdDev,Median
AddNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(WithPercentageAsZombiesAtRandom 0,100,53)",403.9 us,12.181 us,35.53 us,397.8 us
AddOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(WithPercentageAsZombiesAtRandom 0,100,53)",442.3 us,13.329 us,38.88 us,429.2 us
AddNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(WithPercentageAsZombiesAtRandom 0.5,100,52)",423.9 us,13.482 us,37.80 us,416.1 us
AddOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(WithPercentageAsZombiesAtRandom 0.5,100,52)",420.1 us,9.720 us,27.57 us,413.7 us
AddNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(WithPercentageAsZombiesAtRandom 1,100,39)",422.6 us,13.859 us,39.99 us,406.9 us
AddOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(WithPercentageAsZombiesAtRandom 1,100,39)",336.0 us,11.921 us,34.77 us,321.1 us
AddNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(WithPercentageAsZombiesAtRandom 2,100,40)",428.3 us,16.185 us,46.70 us,414.6 us
AddOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(WithPercentageAsZombiesAtRandom 2,100,40)",336.6 us,8.424 us,24.17 us,330.3 us
